Страна,Отрасль,Компания,document_id,competitor_relations
Japan,Автопром,Honda Motor,jp_honda_motor,4
Japan,Автопром,Mitsubishi Motors,jp_mitsubishi_motors,1
Japan,Автопром,Nissan Motor,jp_nissan_motor,4
Japan,Автопром,Suzuki Motor,jp_suzuki_motor,7
Japan,Автопром,Toyota Motor,jp_toyota_motor,9
Japan,Банкинг,MUFG Group,jp_mufg_group,4
Japan,Банкинг,Resona Holdings,jp_resona_holdings,1
Japan,Банкинг,Sumitomo Mitsui Financial Group,jp_sumitomo_mitsui_financial_group,4
Japan,Банкинг,Sumitomo Mitsui Trust Group,jp_sumitomo_mitsui_trust_group,1
